sku_id,product_name,category,unit_cost,selling_price,units_sold_last_12m,inventory_on_hand
SKU-10000,Bedding Item 0,Bedding,143.1,120.06,20,766
SKU-10001,Gardening Item 1,Gardening,74.29,92.25,4919,1161
SKU-10002,Home Decor Item 2,Home Decor,145.79,116.66,37,576
SKU-10003,Kitchenware Item 3,Kitchenware,18.69,47.37,285,68
SKU-10004,Furniture Item 4,Furniture,132.67,121.26,14,986
SKU-10005,Gardening Item 5,Gardening,63.54,64.5,2,946
SKU-10006,Home Decor Item 6,Home Decor,73.07,180.92,1600,441
SKU-10007,Furniture Item 7,Furniture,313.23,616.66,2363,654
SKU-10008,Bedding Item 8,Bedding,79.32,164.5,3253,761
SKU-10009,Bedding Item 9,Bedding,53.64,179.78,155,72
SKU-10010,Furniture Item 10,Furniture,642.59,610.13,35,1115
SKU-10011,Bedding Item 11,Bedding,16.33,19.73,2337,1291
SKU-10012,Furniture Item 12,Furniture,775.68,2103.16,286,24
SKU-10013,Home Decor Item 13,Home Decor,20.44,18.37,23,947
SKU-10014,Gardening Item 14,Gardening,37.84,37.57,34,1072
SKU-10015,Furniture Item 15,Furniture,350.93,840.48,3182,232
SKU-10016,Home Decor Item 16,Home Decor,112.14,374.77,268,56
SKU-10017,Gardening Item 17,Gardening,116.51,377.57,191,18
SKU-10018,Furniture Item 18,Furniture,117.79,285.89,4646,440
SKU-10019,Bedding Item 19,Bedding,88.86,255.37,278,24
SKU-10020,Gardening Item 20,Gardening,38.43,33.53,6,385
SKU-10021,Bedding Item 21,Bedding,140.16,128.12,5,919
SKU-10022,Bedding Item 22,Bedding,68.31,60.73,27,489
SKU-10023,Kitchenware Item 23,Kitchenware,17.25,64.28,170,12
SKU-10024,Gardening Item 24,Gardening,68.44,78.62,6779,1326
SKU-10025,Kitchenware Item 25,Kitchenware,23.17,57.32,3489,709
SKU-10026,Furniture Item 26,Furniture,598.59,1092.92,3999,312
SKU-10027,Furniture Item 27,Furniture,451.88,1100.67,2759,602
SKU-10028,Furniture Item 28,Furniture,471.65,541.65,3733,1335
SKU-10029,Gardening Item 29,Gardening,61.75,72.47,6389,1383
SKU-10030,Furniture Item 30,Furniture,543.47,2009.49,289,82
SKU-10031,Bedding Item 31,Bedding,81.15,274.79,52,68
SKU-10032,Bedding Item 32,Bedding,12.32,37.25,196,80
SKU-10033,Bedding Item 33,Bedding,141.67,179.58,4385,1278
SKU-10034,Bedding Item 34,Bedding,112.93,139.94,6061,762
SKU-10035,Bedding Item 35,Bedding,34.49,36.19,1,553
SKU-10036,Bedding Item 36,Bedding,88.16,76.68,8,958
SKU-10037,Gardening Item 37,Gardening,129.89,159.55,3696,1086
SKU-10038,Kitchenware Item 38,Kitchenware,12.27,11.6,19,411
SKU-10039,Kitchenware Item 39,Kitchenware,34.86,70.19,2919,362
SKU-10040,Home Decor Item 40,Home Decor,41.4,38.23,32,1115
SKU-10041,Bedding Item 41,Bedding,61.31,59.12,2,332
SKU-10042,Bedding Item 42,Bedding,81.23,232.82,71,47
SKU-10043,Home Decor Item 43,Home Decor,78.14,78.04,26,1097
SKU-10044,Kitchenware Item 44,Kitchenware,30.96,35.48,6548,1315
SKU-10045,Gardening Item 45,Gardening,90.08,94.46,16,457
SKU-10046,Home Decor Item 46,Home Decor,49.14,50.71,36,796
SKU-10047,Home Decor Item 47,Home Decor,90.12,76.4,20,460
SKU-10048,Gardening Item 48,Gardening,33.73,127.03,272,76
SKU-10049,Furniture Item 49,Furniture,530.51,458.11,1,789
SKU-10050,Furniture Item 50,Furniture,325.79,317.84,8,475
SKU-10051,Home Decor Item 51,Home Decor,51.51,65.6,3841,1024
SKU-10052,Bedding Item 52,Bedding,81.59,227.75,222,17
SKU-10053,Bedding Item 53,Bedding,134.13,250.25,4425,250
